qscode,date,close,high,low,open,vol
000300.SH,2013-11-27,2414.481,2422.806,2383.78,2386.362,7529408800.0
000300.SH,2013-11-28,2439.53,2460.556,2417.235,2419.15,9066040600.0
000300.SH,2013-11-29,2438.944,2446.395,2432.387,2442.676,6180374600.0
000300.SH,2013-12-02,2418.788,2464.863,2397.007,2423.969,11965512300.0
000300.SH,2013-12-03,2442.784,2448.333,2406.663,2410.693,7445575200.0
000300.SH,2013-12-04,2475.135,2486.64,2434.694,2439.824,10265023500.0
000300.SH,2013-12-05,2468.197,2481.747,2460.576,2476.453,7770893200.0
000300.SH,2013-12-06,2452.287,2470.813,2445.623,2463.043,6611408900.0
000300.SH,2013-12-09,2450.872,2468.948,2445.94,2460.028,5716488400.0
000300.SH,2013-12-10,2453.322,2466.66,2444.526,2456.23,6694142400.0
000300.SH,2013-12-11,2412.763,2440.503,2400.742,2440.503,6807514400.0
000300.SH,2013-12-12,2410.015,2423.309,2402.769,2406.766,5014771900.0
000300.SH,2013-12-13,2406.639,2416.26,2386.246,2388.659,5150119600.0
000300.SH,2013-12-16,2367.923,2412.734,2367.43,2408.678,6458167400.0
000300.SH,2013-12-17,2356.376,2373.286,2351.183,2369.255,4848389100.0
000300.SH,2013-12-18,2357.226,2368.583,2350.451,2356.703,4001520700.0
000300.SH,2013-12-19,2332.41,2370.991,2331.194,2366.205,4809568000.0
000300.SH,2013-12-20,2278.136,2338.875,2278.096,2335.052,6520420700.0
000300.SH,2013-12-23,2284.602,2295.765,2259.575,2283.8,4558028500.0
000300.SH,2013-12-24,2288.248,2312.832,2270.245,2291.125,4559916800.0
000300.SH,2013-12-25,2305.11,2305.609,2281.6,2291.748,4400532600.0
000300.SH,2013-12-26,2265.334,2301.493,2263.922,2299.972,5149756300.0
000300.SH,2013-12-27,2303.478,2315.182,2264.386,2268.535,5338915700.0
000300.SH,2013-12-30,2299.458,2316.621,2295.641,2313.38,4841430800.0
000300.SH,2013-12-31,2330.026,2333.074,2287.117,2289.01,5663107000.0
000300.SH,2014-01-02,2321.978,2325.991,2310.653,2323.433,4519429100.0
000300.SH,2014-01-03,2290.779,2314.836,2280.887,2311.968,5978264500.0
000300.SH,2014-01-06,2238.637,2286.371,2229.334,2286.371,6630040300.0
000300.SH,2014-01-07,2238.001,2246.791,2218.647,2222.306,4375310300.0
000300.SH,2014-01-08,2241.911,2262.584,2228.418,2240.635,5134885400.0
000300.SH,2014-01-09,2222.221,2258.894,2220.802,2236.967,5598704100.0
000300.SH,2014-01-10,2204.851,2224.494,2200.215,2216.521,5416929300.0
000300.SH,2014-01-13,2193.679,2222.072,2183.597,2206.996,5012277200.0
000300.SH,2014-01-14,2212.846,2214.124,2179.908,2192.844,5404994700.0
000300.SH,2014-01-15,2208.941,2215.903,2193.802,2210.024,4896239500.0
000300.SH,2014-01-16,2211.844,2227.262,2201.56,2209.448,5229890200.0
000300.SH,2014-01-17,2178.488,2205.972,2175.876,2203.821,5027315500.0
000300.SH,2014-01-20,2165.993,2182.463,2156.458,2173.651,4056015400.0
000300.SH,2014-01-21,2187.41,2197.923,2168.42,2168.42,4030624700.0
000300.SH,2014-01-22,2243.796,2244.133,2187.534,2190.432,7064137500.0
000300.SH,2014-01-23,2231.889,2248.924,2228.057,2242.245,5634595100.0
000300.SH,2014-01-24,2245.678,2257.355,2222.893,2225.758,6116767000.0
000300.SH,2014-01-27,2215.919,2233.231,2211.799,2233.015,7034424600.0
000300.SH,2014-01-28,2219.855,2233.257,2205.972,2220.785,5326913000.0
000300.SH,2014-01-29,2227.781,2233.057,2219.928,2225.711,5022271700.0
000300.SH,2014-01-30,2202.45,2223.163,2200.224,2223.163,4363230400.0
000300.SH,2014-02-07,2212.483,2212.498,2177.117,2187.343,5045931500.0
000300.SH,2014-02-10,2267.534,2270.194,2221.54,2221.54,8306571600.0
000300.SH,2014-02-11,2285.562,2296.516,2262.599,2267.735,9922982900.0
000300.SH,2014-02-12,2291.246,2294.317,2276.444,2286.187,7659216100.0
000300.SH,2014-02-13,2279.554,2307.474,2278.261,2288.451,9621778900.0
000300.SH,2014-02-14,2295.575,2295.852,2274.429,2278.4,6708299700.0
000300.SH,2014-02-17,2311.647,2315.579,2293.552,2308.791,8783166600.0
000300.SH,2014-02-18,2282.442,2310.309,2276.108,2310.309,8704974300.0
000300.SH,2014-02-19,2308.656,2317.42,2274.152,2280.927,9935256100.0
000300.SH,2014-02-20,2287.436,2331.698,2286.203,2314.088,10643953300.0
000300.SH,2014-02-21,2264.294,2287.869,2250.652,2284.03,7636899300.0
000300.SH,2014-02-24,2214.509,2246.715,2194.164,2246.715,8921593900.0
000300.SH,2014-02-25,2157.909,2225.209,2150.095,2216.515,9323755100.0
000300.SH,2014-02-26,2163.405,2164.698,2137.079,2147.737,7799329700.0
000300.SH,2014-02-27,2154.108,2180.063,2150.135,2170.81,9010429600.0
000300.SH,2014-02-28,2178.971,2180.474,2133.548,2149.446,7666805700.0
000300.SH,2014-03-03,2190.37,2194.224,2167.91,2173.907,8207231400.0
000300.SH,2014-03-04,2184.273,2188.601,2161.589,2183.858,7306925000.0
000300.SH,2014-03-05,2163.976,2189.093,2159.595,2187.352,6133201500.0
000300.SH,2014-03-06,2173.634,2181.427,2136.454,2159.397,6909376700.0
000300.SH,2014-03-07,2168.358,2189.39,2161.436,2170.043,6426517700.0
000300.SH,2014-03-10,2097.787,2149.676,2095.067,2149.676,7141640700.0
000300.SH,2014-03-11,2108.661,2118.79,2088.729,2092.608,5762124300.0
000300.SH,2014-03-12,2114.134,2130.586,2090.757,2102.801,7006974700.0
000300.SH,2014-03-13,2140.333,2149.436,2115.986,2119.547,6922602800.0
000300.SH,2014-03-14,2122.836,2140.384,2109.575,2129.87,5861773700.0
000300.SH,2014-03-17,2143.038,2143.196,2118.953,2132.793,5240944500.0
000300.SH,2014-03-18,2138.133,2152.462,2134.923,2146.124,5535413200.0
000300.SH,2014-03-19,2120.87,2131.283,2101.285,2131.283,5930390500.0
000300.SH,2014-03-20,2086.967,2134.792,2086.497,2116.185,6763128500.0
000300.SH,2014-03-21,2158.798,2163.225,2077.759,2079.871,10402480700.0
000300.SH,2014-03-24,2176.554,2186.731,2150.871,2161.898,10449198400.0
000300.SH,2014-03-25,2174.44,2191.491,2164.669,2170.78,8687751000.0
000300.SH,2014-03-26,2171.047,2186.078,2165.217,2181.231,5827617600.0
000300.SH,2014-03-27,2155.707,2186.893,2146.916,2168.344,7127513200.0
000300.SH,2014-03-28,2151.965,2172.668,2144.584,2154.515,7008607300.0
000300.SH,2014-03-31,2146.305,2165.254,2134.422,2156.054,5545748800.0
000300.SH,2014-04-01,2163.115,2170.095,2141.151,2143.717,4886640300.0
000300.SH,2014-04-02,2180.727,2182.683,2164.008,2166.067,6503925700.0
000300.SH,2014-04-03,2165.008,2196.138,2160.747,2188.642,7153603200.0
000300.SH,2014-04-04,2185.472,2186.154,2155.277,2157.982,4794588800.0
000300.SH,2014-04-08,2237.316,2243.97,2178.905,2179.92,9721911700.0
000300.SH,2014-04-09,2238.62,2246.793,2228.994,2239.791,6635726800.0
000300.SH,2014-04-10,2273.761,2290.742,2229.515,2241.452,11454540500.0
000300.SH,2014-04-11,2270.666,2281.105,2261.133,2269.565,9061589700.0
000300.SH,2014-04-14,2268.613,2275.83,2255.456,2267.943,6226499800.0
000300.SH,2014-04-15,2229.463,2261.474,2225.685,2261.411,6821813000.0
000300.SH,2014-04-16,2232.526,2245.315,2221.153,2223.468,5167801000.0
000300.SH,2014-04-17,2224.803,2241.622,2221.954,2238.779,4833362800.0
000300.SH,2014-04-18,2224.479,2228.77,2203.047,2215.879,5075799500.0
000300.SH,2014-04-21,2187.248,2231.707,2186.755,2209.942,5627828000.0
000300.SH,2014-04-22,2196.795,2196.849,2165.075,2184.017,5709469400.0
000300.SH,2014-04-23,2194.668,2205.594,2187.388,2191.231,4776353100.0
000300.SH,2014-04-24,2190.474,2209.454,2186.763,2192.769,4505891100.0
000300.SH,2014-04-25,2167.826,2201.712,2167.64,2195.815,6024538300.0
000300.SH,2014-04-28,2134.969,2171.385,2132.695,2165.773,6048518700.0
000300.SH,2014-04-29,2158.47,2159.379,2131.783,2134.413,4820493100.0
000300.SH,2014-04-30,2158.659,2164.175,2153.124,2158.762,4533462400.0
000300.SH,2014-05-05,2156.47,2161.703,2131.232,2152.59,4934407300.0
000300.SH,2014-05-06,2157.328,2173.618,2150.112,2151.388,4808651900.0
000300.SH,2014-05-07,2137.316,2153.723,2136.99,2151.472,4460747000.0
000300.SH,2014-05-08,2135.496,2168.206,2128.318,2132.036,4833245200.0
000300.SH,2014-05-09,2133.911,2141.559,2120.595,2138.84,4918113500.0
000300.SH,2014-05-12,2180.054,2184.332,2139.483,2150.313,8347256000.0
000300.SH,2014-05-13,2174.852,2185.046,2167.767,2180.059,6491251800.0
000300.SH,2014-05-14,2172.372,2184.221,2168.997,2175.094,4851420600.0
000300.SH,2014-05-15,2144.084,2171.453,2142.338,2169.278,4673403200.0
000300.SH,2014-05-16,2145.952,2150.5,2132.186,2143.926,4225319700.0
000300.SH,2014-05-19,2115.143,2139.362,2105.713,2139.362,4289360700.0
000300.SH,2014-05-20,2115.771,2131.567,2110.72,2124.708,3729968300.0
000300.SH,2014-05-21,2135.905,2136.1,2096.514,2106.762,3894604200.0
000300.SH,2014-05-22,2130.868,2160.909,2128.858,2134.087,4625273600.0
000300.SH,2014-05-23,2148.414,2148.583,2128.663,2130.775,3762310500.0
000300.SH,2014-05-26,2155.976,2165.421,2147.445,2161.892,3955065600.0
000300.SH,2014-05-27,2147.28,2160.027,2145.752,2154.395,3589717100.0
000300.SH,2014-05-28,2169.352,2171.172,2142.007,2147.467,5005626000.0
000300.SH,2014-05-29,2155.164,2178.092,2154.925,2171.26,4489155600.0
000300.SH,2014-05-30,2156.464,2166.907,2146.218,2156.381,4392386300.0
000300.SH,2014-06-03,2149.918,2168.995,2149.291,2157.64,4198295400.0
000300.SH,2014-06-04,2128.274,2149.452,2117.313,2149.407,4181724900.0
000300.SH,2014-06-05,2150.602,2150.93,2123.524,2126.607,3647742400.0
000300.SH,2014-06-06,2134.716,2149.783,2123.98,2149.214,3573805800.0
000300.SH,2014-06-09,2134.281,2153.903,2126.665,2128.225,3931106000.0
000300.SH,2014-06-10,2161.268,2161.526,2132.447,2138.671,5050790200.0
000300.SH,2014-06-11,2160.766,2163.61,2152.08,2156.151,4256371800.0
000300.SH,2014-06-12,2153.41,2160.988,2148.413,2156.761,4302584300.0
000300.SH,2014-06-13,2176.242,2183.645,2150.569,2150.987,5925287600.0
000300.SH,2014-06-16,2191.855,2196.343,2174.277,2176.438,6329687500.0
000300.SH,2014-06-17,2169.674,2185.681,2168.445,2185.681,4993366500.0
000300.SH,2014-06-18,2160.239,2172.549,2158.497,2169.252,4946389700.0
000300.SH,2014-06-19,2126.907,2166.407,2119.498,2161.426,5316264500.0
000300.SH,2014-06-20,2136.729,2137.034,2120.807,2124.963,4239371900.0
000300.SH,2014-06-23,2134.11,2147.227,2132.454,2137.926,4117925800.0
000300.SH,2014-06-24,2144.821,2145.213,2130.292,2131.686,4016435600.0
000300.SH,2014-06-25,2133.371,2141.726,2126.035,2141.726,3766610000.0
000300.SH,2014-06-26,2149.076,2151.114,2134.891,2135.156,4435116600.0
000300.SH,2014-06-27,2150.258,2159.526,2138.927,2146.374,5272289600.0
000300.SH,2014-06-30,2165.118,2168.221,2152.306,2152.306,5430418800.0
000300.SH,2014-07-01,2164.559,2171.15,2157.133,2169.199,5332310000.0
000300.SH,2014-07-02,2170.867,2171.51,2155.609,2163.998,5968550100.0
000300.SH,2014-07-03,2180.192,2184.964,2164.843,2169.003,6369069000.0
000300.SH,2014-07-04,2178.695,2183.798,2174.073,2180.445,5285110600.0
000300.SH,2014-07-07,2176.289,2186.202,2171.083,2178.546,5024233400.0
000300.SH,2014-07-08,2180.473,2180.778,2163.359,2174.828,5074359900.0
